User_Id,Email,Password,First_Name,Last_Name,Street_Address,City,State,Zipcode,Phone,Role
46,AFoster@weu.edu,password,Amy,Foster,3481 CORBIN PL,Beaver,WV,25813,147-555-9672,faculty
47,GEdwards@weu.edu,password,Gabriel,Edwards,106-107 MARGARET AVE,Sacramento,CA,94203,122-555-9218,faculty
48,LFlores@weu.edu,password,Larry,Flores,4685 CONVERSE ST,Miami,FL,33124,731-555-8627,faculty
49,SAnderson@weu.edu,password,Stephanie,Anderson,6535 BERCUT ACCESS RD,New_Orleans,LA,70112,345-555-9193,faculty
50,WWhite@weu.edu,password,William,White,6380 CRISP RD,Austin,TX,78701,198-555-3226,faculty
51,DRodriguez@weu.edu,password,Doris,Rodriguez,15-48 BEALE ST,New_Orleans,LA,70112,459-555-2262,faculty
52,ZHill@weu.edu,password,Zachary,Hill,81-53 PIERCE ST,Altavista,VA,24517,244-555-7643,faculty
53,LJones@weu.edu,password,Lawrence,Jones,48-104 FRENCH CT,Chicago,IL,60002,172-555-2198,faculty
54,DPeterson@weu.edu,password,Deborah,Peterson,9228 COLONIAL WAY,Nashville,TN,37201,523-555-8005,faculty
55,RButler@weu.edu,password,Raquila,Butler,19-24 CRESTWELL WALK,Sacramento,CA,94203,431-555-5964,faculty
56,ATorres@weu.edu,password,Amanda,Torres,69-43 OAK PARK DR,Phoenix,AZ,85001,244-555-8350,faculty
57,RCook@weu.edu,password,Ralph,Cook,9294 CHANNEL ST,Tulsa,OK,74101,551-555-7472,faculty
58,WJames@weu.edu,password,Willie,James,9662 TAPIA DR,Pensacola,FL,32501,484-555-4353,faculty
59,SSanders@weu.edu,password,Suli,Sanders,30-12 VERDUN WAY,Reno,NV,89501,258-555-7070,faculty
60,SAnderson@weu.edu,password,Sean,Anderson,977 ELLINGTON AVE,Reno,NV,89501,263-555-2382,faculty
61,SAlexander@weu.edu,password,Sean,Alexander,89-48 ARBOR ST,Coldwater,MI,49036,573-555-2802,faculty
62,JKelly@weu.edu,password,Janice,Kelly,6911 EL DORADO ST,Ashland,NH,3217,694-555-9655,faculty
63,NEvans@weu.edu,password,Nancy,Evans,43-76 MORNINGSIDE DR,New_Orleans,LA,70112,718-555-4434,faculty
64,TPhillips@weu.edu,password,Titi,Phillips,110-102 ROSCOE ST,Santa_Fe,NM,87500,489-555-3387,faculty
65,RWhite@weu.edu,password,Ryan,White,8530 ROSSMOOR DR,Sacramento,CA,94203,697-555-5877,faculty
66,HHayes@weu.edu,password,Hannah,Hayes,108-39 SEACLIFF AVE,Laurel,MT,59044,726-555-2604,faculty
67,WClark@weu.edu,password,Wayne,Clark,7144 WEDEMEYER ST,none,no,0,774-555-6896,faculty
68,JRichardson@weu.edu,password,Jacqueline,Richardson,4159 BLANCHE ST,New_York,NY,10001,419-555-4082,faculty
69,SCampbell@weu.edu,password,Samantha,Campbell,4025 CAMBRIDGE ST,Wichita,KS,67201,654-555-4174,faculty
70,EWright@weu.edu,password,Ethan,Wright,7509 TOMPKINS AVE,Atlanta,GA,30301,387-555-7885,faculty
71,MKelly@weu.edu,password,Morgan,Kelly,70-26 CENTRAL AVE,Pinedale,WY,82941,768-555-2607,faculty
72,GJames@weu.edu,password,Grace,James,3178 BURR AVE,Freeport,ME,4032,285-555-5275,faculty
73,PHill@weu.edu,password,Patrick,Hill,79-41 I-80 WESTBOUND,Anchorage,AK,99501,439-555-3357,faculty
74,MSanchez@weu.edu,password,Mary,Sanchez,6867 WATERFRONT ST,Sacramento,CA,94203,694-555-5587,faculty
75,EBryant@weu.edu,password,Emily,Bryant,28-35 BATTERY EAST RD,Kansas_City,KS,50301,127-555-6166,faculty
76,GBailey@weu.edu,password,Gina,Bailey,7710 INNES AVE,Coldwater,MI,49036,749-555-2565,faculty
77,JTorres@weu.edu,password,Joshua,Torres,6933 VISTA VIEW CT,Tulsa,OK,74101,723-555-6228,faculty
78,JWilliams@weu.edu,password,Jason,Williams,107-96 FRIEDELL ST,Hartford,CT,6101,281-555-6221,faculty
79,MBrooks@weu.edu,password,Malay,Brooks,7959 DICKINSON ST,New_Orleans,LA,70112,697-555-5878,faculty
80,RParker@weu.edu,password,Raquila,Parker,6392 ROANOKE ST,Montpelier,ID,83254,613-555-4196,faculty
81,CPerez@weu.edu,password,Charles,Perez,35-30 HAWKINS LN,Chicago,IL,60002,103-555-3749,faculty
82,JLewis@weu.edu,password,Jeremy,Lewis,10-79 TALBERT CT,Coldwater,MI,49036,215-555-5199,faculty
83,EWashington@weu.edu,password,Ethan,Washington,44-106 COLIN P KELLY JR ST,Phoenix,AZ,85001,176-555-2747,faculty
84,CParker@weu.edu,password,Caitlin,Parker,4374 ANTONIO ST,Hazard,KY,41701,441-555-2629,faculty
85,JBennett@weu.edu,password,Jonathan,Bennett,8481 COLTON ST,Los_Angeles,CA,90001,338-555-4206,faculty
86,LCampbell@weu.edu,password,Lauren,Campbell,80-45 CRESTA VISTA DR,Austin,TX,78701,138-555-4882,faculty
87,PAlexander@weu.edu,password,Philip,Alexander,108-98 AGUA WAY,Killington,VT,5751,185-555-9983,faculty
88,DWalker@weu.edu,password,Deborah,Walker,3143 GATUN ALY,Tulsa,OK,74101,323-555-6736,faculty
89,RBrooks@weu.edu,password,Ronald,Brooks,44-63 QUICKSTEP LN,Boston,MA,2101,246-555-7775,faculty
90,LRamirez@weu.edu,password,Lee,Ramirez,8427 SHORE VIEW AVE,Miami,FL,33124,486-555-4699,faculty
91,RWilliams@weu.edu,password,Russell,Williams,9421 MALTA DR,Livingston,NJ,7039,375-555-5505,faculty
92,JPrice@weu.edu,password,Jordan,Price,69-81 AUTOMOBILE DR,Wichita,KS,67201,306-555-4877,faculty
93,DWright@weu.edu,password,Deepa,Wright,8378 NEPTUNE ST,Kansas_City,KS,50301,558-555-8744,faculty
94,BTaylor@weu.edu,password,Brandon,Taylor,7671 SANTA ROSA AVE,Killington,VT,5751,120-555-6180,faculty
95,EFlores@weu.edu,password,Evelyn,Flores,7827 VAN NESS AVE,Des_Moines,IA,52801,322-555-7269,faculty
96,AHill@weu.edu,password,Ashley,Hill,5956 RODRIGUEZ ST,Oxford,NC,27565,506-555-2687,faculty
97,JMartinez@weu.edu,password,Jesse,Martinez,6310 BERWICK PL,Reno,NV,89501,232-555-3977,faculty
98,HSimmons@weu.edu,password,Helen,Simmons,35-91 CAMELLIA AVE,Laurel,MT,59044,105-555-3007,faculty
99,GHill@weu.edu,password,Gabriel,Hill,4320 FUNSTON AVE,Cleveland,OH,44101,194-555-3618,faculty
100,APowell@weu.edu,password,Alexis,Powell,7358 STILL ST,Montpelier,ID,83254,763-555-4032,faculty
101,MWilliams@weu.edu,password,Michael,Williams,3361 MCALLISTER ST,Hazard,KY,41701,768-555-9515,faculty
102,ABell@weu.edu,password,Austin,Bell,7353 COMERFORD ST,Montpelier,ID,83254,713-555-2015,faculty
103,RHoward@weu.edu,password,Russell,Howard,53-60 MALTA DR,Dover,DE,19901,758-555-9986,faculty
104,RWashington@weu.edu,password,Rebecca,Washington,32-82 DICHA ALY,Santa_Fe,NM,87500,116-555-9847,faculty
105,ABailey@weu.edu,password,Albert,Bailey,69-82 PINTO AVE,"6,270,162,709",IN,62701,613-555-3984,faculty
106,SLong@weu.edu,password,Sean,Long,61-75 GILLETTE AVE,"6,270,162,709",IN,62701,648-555-9059,faculty
107,DHall@weu.edu,password,Denise,Hall,69-97 JUSTIN DR,"2,000,120,020",DC,20001,721-555-7885,faculty
108,JRamirez@weu.edu,password,Judith,Ramirez,2211 MANSELL ST,Cleveland,OH,44101,515-555-8214,faculty
109,LBennett@weu.edu,password,Lisa,Bennett,3508 ASHBURY ST,Hazard,KY,41701,798-555-2063,faculty
110,researcher@weu.edu,password,Patricia,Russell,8032 CASTRO ST,Chicago,IL,60002,529-555-5801,researcher
111,DThompson@weu.edu,password,Debra,Thompson,3978 WHITE ST,Milwaukee,WI,53201,538-555-9715,student
112,JAnderson@weu.edu,password,Jonathan,Anderson,109-48 RONDEL PL,Portland,OR,97201,789-555-6344,student
113,CCooper@weu.edu,password,Christian,Cooper,36-20 LAKEWOOD AVE,Phoenix,AZ,85001,746-555-2039,student
114,HTurner@weu.edu,password,Henry,Turner,6000 PILGRIM AVE,Logan,UT,84321,780-555-4293,student
115,JMartinez@weu.edu,password,Julie,Martinez,7813 HEALY AVE,Walhalla,ND,58282,726-555-2053,student
116,AHarris@weu.edu,password,Aaron,Harris,5644 AMATISTA LN,Tulsa,OK,74101,627-555-5032,student
117,AMartinez@weu.edu,password,Aaron,Martinez,7415 GLADYS ST,Davenport,IA,0,561-555-3312,student
118,RMoore@weu.edu,password,Ronald,Moore,9160 WHEAT ST,Ashland,NH,3217,549-555-8878,student
119,RMorgan@weu.edu,password,Robert,Morgan,83-13 CLAREMONT BLVD,Logan,UT,84321,216-555-7229,student
120,JAnderson@weu.edu,password,Joyce,Anderson,2820 JUDSON AVE,Boston,MA,2101,291-555-2539,student
121,nlewis@weu.edu,password,Noah,Lewis,3804 TERRA VISTA AVE,Montpelier,ID,83254,447-555-7275,student
122,bperry@weu.edu,password,Bruce,Perry,12-41 ROSEMONT PL,Santa_Fe,NM,87500,492-555-7898,student
123,esmith@weu.edu,password,Emily,Smith,27-66 NELLIE ST,Reno,NV,89501,305-555-9689,student
124,scox@weu.edu,password,Sangjun,Cox,37-28 MALVINA PL,Des_Moines,IA,52801,609-555-6025,student
125,ataylor@weu.edu,password,Abigail,Taylor,19-36 BARNARD AVE,Miami,FL,33124,445-555-9091,student
126,gedwards@weu.edu,password,Grace,Edwards,8871 MINNA ST,Newport,RI,2841,618-555-3855,student
127,phoward@weu.edu,password,Pamela,Howard,5636 SPARROW ST,Phoenix,AZ,85001,237-555-5104,student
128,jward@weu.edu,password,Jessica,Ward,6436 PAYSON ST,Montpelier,ID,83254,198-555-5672,student
129,aking@weu.edu,password,Amber,King,8546 GORGAS AVE,New_Orleans,LA,70112,520-555-7443,student
130,mbell@weu.edu,password,Matthew,Bell,7999 CUBA ALY,Milwaukee,WI,53201,220-555-7060,student
131,ccook@weu.edu,password,Christina,Cook,33-99 COLE ST,Newport,RI,2841,114-555-7433,student
132,syoung@weu.edu,password,Shmule,Young,36-18 GODEUS ST,Duluth,MN,55801,697-555-8446,student
133,mflores@weu.edu,password,Marie,Flores,91-73 CEDAR ST,Pinedale,WY,82941,444-555-9375,student
134,bthompson@weu.edu,password,Beverly,Thompson,5342 STAPLES AVE,Milwaukee,WI,53201,160-555-9189,student
135,kbrown@weu.edu,password,Katherine,Brown,2173 MODOC AVE,Miami,FL,33124,115-555-5211,student
136,dward@weu.edu,password,Doyoung,Ward,3431 LE CONTE AVE,Boston,MA,2101,546-555-5479,student
137,cward@weu.edu,password,Carl,Ward,89-89 07TH AVE,Chicago,IL,60002,679-555-2701,student
138,wrogers@weu.edu,password,Wayne,Rogers,81-37 VERNON ST,Oxford,NC,27565,715-555-6569,student
139,vjenkins@weu.edu,password,Virginia,Jenkins,7292 CAMPBELL AVE,New_Orleans,LA,70112,453-555-8797,student
140,agonzalez@weu.edu,password,Amy,Gonzalez,89-90 STATES ST,Davenport,IA,0,459-555-6142,student
141,djenkins@weu.edu,password,Dylan,Jenkins,40-34 UPTON AVE,none,no,0,361-555-6526,student
142,acook@weu.edu,password,Anthony,Cook,899 OAK PARK DR,Hastings,NE,68901,595-555-4409,student
143,kwilson@weu.edu,password,Katherine,Wilson,5100 JADE PL,Ashland,NH,3217,635-555-8344,student
144,dbutler@weu.edu,password,Douglas,Butler,47-17 FISHER AVE,Anchorage,AK,99501,506-555-5390,student
145,aadams@weu.edu,password,Ashley,Adams,10-81 LA SALLE AVE,Livingston,NJ,7039,536-555-9319,student
146,froberts@weu.edu,password,Frank,Roberts,4660 MAHAN ST,Tulsa,OK,74101,155-555-8867,student
147,fevans@weu.edu,password,Frank,Evans,30-20 RITCH ST,Little_Rock,AR,72201,730-555-6717,student
148,jlewis@weu.edu,password,Juan,Lewis,5763 HOLLOWAY AVE,Hazard,KY,41701,600-555-6535,student
149,jwilliams@weu.edu,password,Jane,Williams,45-109 BERGEN ALY,Austin,TX,78701,550-555-2905,student
150,cfoster@weu.edu,password,Carolyn,Foster,1083 FITZGERALD AVE,Dover,DE,19901,779-555-7781,student
151,amorris@weu.edu,password,Avi,Morris,2258 CLARENDON AVE,Beverly_Hills,CA,90209,431-555-4406,student
152,vcooper@weu.edu,password,Victoria,Cooper,7792 LANE ST,Altavista,VA,24517,207-555-8905,student
153,rwright@weu.edu,password,Ronald,Wright,5341 MANCHESTER ST,Oxford,NC,27565,423-555-3511,student
154,fwilson@weu.edu,password,Frank,Wilson,3106 LEDYARD ST,Miami,FL,33124,183-555-9050,student
155,dcampbell@weu.edu,password,Dorothy,Campbell,60-81 CONGO ST,Altavista,VA,24517,362-555-7516,student
156,bpeterson@weu.edu,password,Billy,Peterson,2002 CARROLL AVE,Freeport,ME,4032,174-555-3617,student
157,hmitchell@weu.edu,password,Helen,Mitchell,6700 LAIDLEY ST,Tulsa,OK,74101,508-555-4879,student
158,twilliams@weu.edu,password,Timothy,Williams,83-34 COOPER ALY,Portland,OR,97201,589-555-3282,student
159,eevans@weu.edu,password,Ethan,Evans,32-80 CHURCH ACCESS RD,Gaylord,MI,49036,758-555-7764,student
160,nlewis@weu.edu,password,Noah,Lewis,3804 TERRA VISTA AVE,Montpelier,ID,83254,447-555-7275,student
161,bperry@weu.edu,password,Bruce,Perry,12-41 ROSEMONT PL,Santa_Fe,NM,87500,492-555-7898,student
162,esmith@weu.edu,password,Emily,Smith,27-66 NELLIE ST,Reno,NV,89501,305-555-9689,student
163,scox@weu.edu,password,Sangjun,Cox,37-28 MALVINA PL,Des_Moines,IA,52801,609-555-6025,student
164,ataylor@weu.edu,password,Abigail,Taylor,19-36 BARNARD AVE,Miami,FL,33124,445-555-9091,student
165,gedwards@weu.edu,password,Grace,Edwards,8871 MINNA ST,Newport,RI,2841,618-555-3855,student
166,phoward@weu.edu,password,Pamela,Howard,5636 SPARROW ST,Phoenix,AZ,85001,237-555-5104,student
167,jward@weu.edu,password,Jessica,Ward,6436 PAYSON ST,Montpelier,ID,83254,198-555-5672,student
168,aking@weu.edu,password,Amber,King,8546 GORGAS AVE,New_Orleans,LA,70112,520-555-7443,student
169,mbell@weu.edu,password,Matthew,Bell,7999 CUBA ALY,Milwaukee,WI,53201,220-555-7060,student
170,ccook@weu.edu,password,Christina,Cook,33-99 COLE ST,Newport,RI,2841,114-555-7433,student
171,syoung@weu.edu,password,Shmule,Young,36-18 GODEUS ST,Duluth,MN,55801,697-555-8446,student
172,mflores@weu.edu,password,Marie,Flores,91-73 CEDAR ST,Pinedale,WY,82941,444-555-9375,student
173,bthompson@weu.edu,password,Beverly,Thompson,5342 STAPLES AVE,Milwaukee,WI,53201,160-555-9189,student
174,kbrown@weu.edu,password,Katherine,Brown,2173 MODOC AVE,Miami,FL,33124,115-555-5211,student
175,dward@weu.edu,password,Doyoung,Ward,3431 LE CONTE AVE,Boston,MA,2101,546-555-5479,student
176,cward@weu.edu,password,Carl,Ward,89-89 07TH AVE,Chicago,IL,60002,679-555-2701,student
177,wrogers@weu.edu,password,Wayne,Rogers,81-37 VERNON ST,Oxford,NC,27565,715-555-6569,student
178,vjenkins@weu.edu,password,Virginia,Jenkins,7292 CAMPBELL AVE,New_Orleans,LA,70112,453-555-8797,student
179,agonzalez@weu.edu,password,Amy,Gonzalez,89-90 STATES ST,Davenport,IA,0,459-555-6142,student
180,djenkins@weu.edu,password,Dylan,Jenkins,40-34 UPTON AVE,none,no,0,361-555-6526,student
181,acook@weu.edu,password,Anthony,Cook,899 OAK PARK DR,Hastings,NE,68901,595-555-4409,student
182,kwilson@weu.edu,password,Katherine,Wilson,5100 JADE PL,Ashland,NH,3217,635-555-8344,student
183,dbutler@weu.edu,password,Douglas,Butler,47-17 FISHER AVE,Anchorage,AK,99501,506-555-5390,student
184,aadams@weu.edu,password,Ashley,Adams,10-81 LA SALLE AVE,Livingston,NJ,7039,536-555-9319,student
185,froberts@weu.edu,password,Frank,Roberts,4660 MAHAN ST,Tulsa,OK,74101,155-555-8867,student
186,fevans@weu.edu,password,Frank,Evans,30-20 RITCH ST,Little_Rock,AR,72201,730-555-6717,student
187,jlewis@weu.edu,password,Juan,Lewis,5763 HOLLOWAY AVE,Hazard,KY,41701,600-555-6535,student
188,jwilliams@weu.edu,password,Jane,Williams,45-109 BERGEN ALY,Austin,TX,78701,550-555-2905,student
189,cfoster@weu.edu,password,Carolyn,Foster,1083 FITZGERALD AVE,Dover,DE,19901,779-555-7781,student
190,amorris@weu.edu,password,Avi,Morris,2258 CLARENDON AVE,Beverly_Hills,CA,90209,431-555-4406,student
191,vcooper@weu.edu,password,Victoria,Cooper,7792 LANE ST,Altavista,VA,24517,207-555-8905,student
192,rwright@weu.edu,password,Ronald,Wright,5341 MANCHESTER ST,Oxford,NC,27565,423-555-3511,student
193,fwilson@weu.edu,password,Frank,Wilson,3106 LEDYARD ST,Miami,FL,33124,183-555-9050,student
194,dcampbell@weu.edu,password,Dorothy,Campbell,60-81 CONGO ST,Altavista,VA,24517,362-555-7516,student
195,bpeterson@weu.edu,password,Billy,Peterson,2002 CARROLL AVE,Freeport,ME,4032,174-555-3617,student
196,hmitchell@weu.edu,password,Helen,Mitchell,6700 LAIDLEY ST,Tulsa,OK,74101,508-555-4879,student
197,twilliams@weu.edu,password,Timothy,Williams,83-34 COOPER ALY,Portland,OR,97201,589-555-3282,student
198,eevans@weu.edu,password,Ethan,Evans,32-80 CHURCH ACCESS RD,Gaylord,MI,49036,758-555-7764,student
199,nlewis@weu.edu,password,Noah,Lewis,3804 TERRA VISTA AVE,Montpelier,ID,83254,447-555-7275,student
200,bperry@weu.edu,password,Bruce,Perry,12-41 ROSEMONT PL,Santa_Fe,NM,87500,492-555-7898,student
201,esmith@weu.edu,password,Emily,Smith,27-66 NELLIE ST,Reno,NV,89501,305-555-9689,student
202,scox@weu.edu,password,Sangjun,Cox,37-28 MALVINA PL,Des_Moines,IA,52801,609-555-6025,student
203,ataylor@weu.edu,password,Abigail,Taylor,19-36 BARNARD AVE,Miami,FL,33124,445-555-9091,student
204,gedwards@weu.edu,password,Grace,Edwards,8871 MINNA ST,Newport,RI,2841,618-555-3855,student
205,phoward@weu.edu,password,Pamela,Howard,5636 SPARROW ST,Phoenix,AZ,85001,237-555-5104,student
206,jward@weu.edu,password,Jessica,Ward,6436 PAYSON ST,Montpelier,ID,83254,198-555-5672,student
207,aking@weu.edu,password,Amber,King,8546 GORGAS AVE,New_Orleans,LA,70112,520-555-7443,student
208,mbell@weu.edu,password,Matthew,Bell,7999 CUBA ALY,Milwaukee,WI,53201,220-555-7060,student
209,ccook@weu.edu,password,Christina,Cook,33-99 COLE ST,Newport,RI,2841,114-555-7433,student
210,syoung@weu.edu,password,Shmule,Young,36-18 GODEUS ST,Duluth,MN,55801,697-555-8446,student
211,mflores@weu.edu,password,Marie,Flores,91-73 CEDAR ST,Pinedale,WY,82941,444-555-9375,student
212,bthompson@weu.edu,password,Beverly,Thompson,5342 STAPLES AVE,Milwaukee,WI,53201,160-555-9189,student
213,kbrown@weu.edu,password,Katherine,Brown,2173 MODOC AVE,Miami,FL,33124,115-555-5211,student
214,dward@weu.edu,password,Doyoung,Ward,3431 LE CONTE AVE,Boston,MA,2101,546-555-5479,student
215,cward@weu.edu,password,Carl,Ward,89-89 07TH AVE,Chicago,IL,60002,679-555-2701,student
216,wrogers@weu.edu,password,Wayne,Rogers,81-37 VERNON ST,Oxford,NC,27565,715-555-6569,student
217,vjenkins@weu.edu,password,Virginia,Jenkins,7292 CAMPBELL AVE,New_Orleans,LA,70112,453-555-8797,student
218,agonzalez@weu.edu,password,Amy,Gonzalez,89-90 STATES ST,Davenport,IA,0,459-555-6142,student
219,acook@weu.edu,password,Anthony,Cook,899 OAK PARK DR,Hastings,NE,68901,595-555-4409,student
220,kwilson@weu.edu,password,Katherine,Wilson,5100 JADE PL,Ashland,NH,3217,635-555-8344,student
221,dbutler@weu.edu,password,Douglas,Butler,47-17 FISHER AVE,Anchorage,AK,99501,506-555-5390,student
222,aadams@weu.edu,password,Ashley,Adams,10-81 LA SALLE AVE,Livingston,NJ,7039,536-555-9319,student
223,froberts@weu.edu,password,Frank,Roberts,4660 MAHAN ST,Tulsa,OK,74101,155-555-8867,student
224,fevans@weu.edu,password,Frank,Evans,30-20 RITCH ST,Little_Rock,AR,72201,730-555-6717,student
225,jlewis@weu.edu,password,Juan,Lewis,5763 HOLLOWAY AVE,Hazard,KY,41701,600-555-6535,student
226,jwilliams@weu.edu,password,Jane,Williams,45-109 BERGEN ALY,Austin,TX,78701,550-555-2905,student
227,cfoster@weu.edu,password,Carolyn,Foster,1083 FITZGERALD AVE,Dover,DE,19901,779-555-7781,student
228,amorris@weu.edu,password,Avi,Morris,2258 CLARENDON AVE,Beverly_Hills,CA,90209,431-555-4406,student
229,vcooper@weu.edu,password,Victoria,Cooper,7792 LANE ST,Altavista,VA,24517,207-555-8905,student
230,rwright@weu.edu,password,Ronald,Wright,5341 MANCHESTER ST,Oxford,NC,27565,423-555-3511,student
231,fwilson@weu.edu,password,Frank,Wilson,3106 LEDYARD ST,Miami,FL,33124,183-555-9050,student
232,dcampbell@weu.edu,password,Dorothy,Campbell,60-81 CONGO ST,Altavista,VA,24517,362-555-7516,student
233,bpeterson@weu.edu,password,Billy,Peterson,2002 CARROLL AVE,Freeport,ME,4032,174-555-3617,student
234,hmitchell@weu.edu,password,Helen,Mitchell,6700 LAIDLEY ST,Tulsa,OK,74101,508-555-4879,student
235,twilliams@weu.edu,password,Timothy,Williams,83-34 COOPER ALY,Portland,OR,97201,589-555-3282,student
236,eevans@weu.edu,password,Ethan,Evans,32-80 CHURCH ACCESS RD,Gaylord,MI,49036,758-555-7764,student
237,dnelson@weu.edu,password,Douglas,Nelson,85-59 15TH ST,Livingston,NJ,7039,235-555-8587,student
238,srobinson@weu.edu,password,Sara,Robinson,46-56 MURRAY ST,Camden,SC,29020,290-555-4897,student
239,bphillips@weu.edu,password,Betty,Phillips,4103 LE CONTE AVE,Portland,OR,97201,330-555-2414,student
240,jhill@weu.edu,password,Jeffrey,Hill,9708 LAMSON LN,none,no,0,183-555-5140,student
